"","index","input_gene","ortholog_gene"
"KYAT3",3681,"KYAT3","KYAT3"
"SLC44A5",3682,"SLC44A5","SLC44A5"
"ATXN7L2",3683,"ATXN7L2","ATXN7L2"
"GTF2B",3684,"GTF2B","GTF2B"
"PKN2",3685,"PKN2","PKN2"
"LMO4",3686,"LMO4","LMO4"
"PSMA5",3687,"PSMA5","PSMA5"
"C6H7orf26",3688,"C6H7orf26","INTS15"
"SORT1",3689,"SORT1","SORT1"
"TYW3",3690,"TYW3","TYW3"
"CRYZ",3692,"CRYZ","CRYZ"
"SH3GLB1",3694,"SH3GLB1","SH3GLB1"
"PSRC1",3695,"PSRC1","PSRC1"
"CCDC154",3696,"CCDC154","CCDC154"
"ZNF316",3697,"ZNF316","ZNF316"
"TNNI3K",3698,"TNNI3K","TNNI3K"
"TSR3",3700,"TSR3","TSR3"
"ZNF12",3701,"ZNF12","ZNF12"
"C6H16orf91",3702,"C6H16orf91","UQCC4"
"UNKL",3703,"UNKL","UNKL"
"FPGT",3705,"FPGT","FPGT"
"CACNA1H",3710,"CACNA1H","CACNA1H"
"POP7",3711,"POP7","POP7"
"RNF216",3712,"RNF216","RNF216"
"GIGYF1",3713,"GIGYF1","GIGYF1"
"NEGR1",3714,"NEGR1","NEGR1"
"GALNT17",3715,"GALNT17","GALNT17"
"FSCN1",3716,"FSCN1","FSCN1"
"AUTS2",3719,"AUTS2","AUTS2"
"FBXL18",3720,"FBXL18","FBXL18"
"GNB2",3721,"GNB2","GNB2"
"TNRC18",3722,"TNRC18","TNRC18"
"ZRANB2",3724,"ZRANB2","ZRANB2"
"LMF1",3725,"LMF1","LMF1"
"ATP2A1",3726,"ATP2A1","ATP2A1"
"FAM20C",3727,"FAM20C","FAM20C"
"MOSPD3",3729,"MOSPD3","MOSPD3"
"NAGPA",3730,"NAGPA","NAGPA"
"RPUSD1",3731,"RPUSD1","RPUSD1"
"AHSP",3732,"AHSP","AHSP"
"RUSF1",3733,"RUSF1","RUSF1"
"CTH",3734,"CTH","CTH"
"IQCK",3735,"IQCK","IQCK"
"CHTF18",3736,"CHTF18","CHTF18"
"KNOP1",3737,"KNOP1","KNOP1"
"PCOLCE",3738,"PCOLCE","PCOLCE"
"PPL",3739,"PPL","PPL"
"FBXO24",3740,"FBXO24","FBXO24"
"VAV3",3741,"VAV3","VAV3"
"CCP110",3742,"CCP110","CCP110"
"ANKRD13C",3743,"ANKRD13C","ANKRD13C"
"SARS1",3744,"SARS1","SARS1"
"RABEP2",3745,"RABEP2","RABEP2"
"ELAPOR1",3746,"ELAPOR1","ELAPOR1"
"CIAO3",3749,"CIAO3","CIAO3"
"SRSF11",3751,"SRSF11","SRSF11"
"SPNS1",3752,"SPNS1","SPNS1"
"TMEM167B",3753,"TMEM167B","TMEM167B"
"ARMC5",3754,"ARMC5","ARMC5"
"ITGAM",3756,"ITGAM","ITGAM"
"NYAP1",3757,"NYAP1","NYAP1"
"HAGHL",3758,"HAGHL","HAGHL"
"LRRC40",3759,"LRRC40","LRRC40"
"CLCC1",3761,"CLCC1","CLCC1"
"CCDC78",3762,"CCDC78","CCDC78"
"GDE1",3764,"GDE1","GDE1"
"NIPSNAP2",3765,"NIPSNAP2","NIPSNAP2"
"SAP25",3767,"SAP25","SAP25"
"WDR24",3768,"WDR24","WDR24"
"GPSM2",3769,"GPSM2","GPSM2"
"PSPH",3770,"PSPH","PSPH"
"AKNAD1",3771,"AKNAD1","AKNAD1"
"AGFG2",3772,"AGFG2","AGFG2"
"JMJD8",3773,"JMJD8","JMJD8"
"CCT6A",3774,"CCT6A","CCT6A"
"STXBP3",3775,"STXBP3","STXBP3"
"WIPI2",3776,"WIPI2","WIPI2"
"TSC22D4",3777,"TSC22D4","TSC22D4"
"SUMF2",3778,"SUMF2","SUMF2"
"PPP1R35",3779,"PPP1R35","PPP1R35"
"MEPCE",3780,"MEPCE","MEPCE"
"CASTOR2",3781,"CASTOR2","CASTOR2"
"STUB1",3782,"STUB1","STUB1"
"RHBDL1",3783,"RHBDL1","RHBDL1"
"ZCWPW1",3785,"ZCWPW1","ZCWPW1"
"WDR90",3786,"WDR90","WDR90"
"CHCHD2",3788,"CHCHD2","CHCHD2"
"NUPR2",3789,"NUPR2","NUPR2"
"FNDC7",3790,"FNDC7","FNDC7"
"GTF2I",3793,"GTF2I","GTF2I"
"PYCARD",3794,"PYCARD","PYCARD"
"CD19",3795,"CD19","CD19"
"FUS",3797,"FUS","FUS"
"PRMT6",3798,"PRMT6","PRMT6"
"TMC7",3799,"TMC7","TMC7"
"NFATC2IP",3800,"NFATC2IP","NFATC2IP"
"RNPC3",3801,"RNPC3","RNPC3"
"LAT",3803,"LAT","LAT"
"GTF2IRD1",3804,"GTF2IRD1","GTF2IRD1"
"METTL26",3805,"METTL26","METTL26"
"UBN1",3806,"UBN1","UBN1"
"CLIP2",3807,"CLIP2","CLIP2"
"WFIKKN1",3808,"WFIKKN1","WFIKKN1"
"RAB40C",3809,"RAB40C","RAB40C"
"GLYR1",3810,"GLYR1","GLYR1"
"ZNF500",3811,"ZNF500","ZNF500"
"PIGQ",3812,"PIGQ","PIGQ"
"VKORC1L1",3813,"VKORC1L1","VKORC1L1"
"COQ7",3814,"COQ7","COQ7"
"ANKS3",3815,"ANKS3","ANKS3"
"XPO6",3817,"XPO6","XPO6"
"RFC2",3818,"RFC2","RFC2"
"RADIL",3819,"RADIL","RADIL"
"CAPN15",3821,"CAPN15","CAPN15"
"RAB11FIP3",3823,"RAB11FIP3","RAB11FIP3"
"AP5Z1",3824,"AP5Z1","AP5Z1"
"PVRIG",3825,"PVRIG","PVRIG"
"NUDT16L1",3826,"NUDT16L1","NUDT16L1"
"LAT2",3827,"LAT2","LAT2"
"EIF4H",3828,"EIF4H","EIF4H"
"KAT8",3829,"KAT8","KAT8"
"BCKDK",3830,"BCKDK","BCKDK"
"VKORC1",3831,"VKORC1","VKORC1"
"ZNF646",3832,"ZNF646","ZNF646"
"FOXK1",3833,"FOXK1","FOXK1"
"ZNF668",3834,"ZNF668","ZNF668"
"DECR2",3835,"DECR2","DECR2"
"STAG3",3836,"STAG3","STAG3"
"CRCP",3837,"CRCP","CRCP"
"LIMK1",3838,"LIMK1","LIMK1"
"SMG1",3839,"SMG1","SMG1"
"MGRN1",3840,"MGRN1","MGRN1"
"KATNIP",3841,"KATNIP","KATNIP"
"STX4",3842,"STX4","STX4"
"SDK1",3844,"SDK1","SDK1"
"ODF2L",3845,"ODF2L","ODF2L"
"S1PR1",3846,"S1PR1","S1PR1"
"HSD3B7",3847,"HSD3B7","HSD3B7"
"TPST1",3848,"TPST1","TPST1"
"GPC2",3849,"GPC2","GPC2"
"SETD1A",3850,"SETD1A","SETD1A"
"DPH5",3851,"DPH5","DPH5"
"RABGEF1",3852,"RABGEF1","RABGEF1"
"PGAP6",3853,"PGAP6","PGAP6"
"SLC30A7",3854,"SLC30A7","SLC30A7"
"RPS15A",3855,"RPS15A","RPS15A"
"GAL3ST4",3856,"GAL3ST4","GAL3ST4"
"XYLT1",3857,"XYLT1","XYLT1"
"EXTL2",3858,"EXTL2","EXTL2"
"UBALD1",3859,"UBALD1","UBALD1"
"MRPL28",3860,"MRPL28","MRPL28"
"METTL27",3861,"METTL27","METTL27"
"TRAPPC14",3862,"TRAPPC14","TRAPPC14"
"FBXL19",3863,"FBXL19","FBXL19"
"AXIN1",3865,"AXIN1","AXIN1"
"ABHD11",3866,"ABHD11","ABHD11"
"GTF3C1",3867,"GTF3C1","GTF3C1"
"LAMTOR4",3868,"LAMTOR4","LAMTOR4"
"BUD23",3869,"BUD23","BUD23"
"TMEM248",3870,"TMEM248","TMEM248"
"PDIA2",3872,"PDIA2","PDIA2"
"CDIP1",3874,"CDIP1","CDIP1"
"SBDS",3875,"SBDS","SBDS"
"CDC14A",3876,"CDC14A","CDC14A"
"DNAJC30",3878,"DNAJC30","DNAJC30"
"RGS11",3880,"RGS11","RGS11"
"HMOX2",3881,"HMOX2","HMOX2"
"BCL7C",3883,"BCL7C","BCL7C"
"ZNHIT6",3884,"ZNHIT6","ZNHIT6"
"MLXIPL",3885,"MLXIPL","MLXIPL"
"NMRAL1",3886,"NMRAL1","NMRAL1"
"FAM234A",3888,"FAM234A","FAM234A"
"TAF6",3890,"TAF6","TAF6"
"DNAJA3",3891,"DNAJA3","DNAJA3"
"ZNF629",3892,"ZNF629","ZNF629"
"ABCC6",3894,"ABCC6","ABCC6"
"RNF40",3895,"RNF40","RNF40"
"AP4M1",3897,"AP4M1","AP4M1"
"RTCA",3898,"RTCA","RTCA"
"BAZ1B",3899,"BAZ1B","BAZ1B"
"ABCC1",3900,"ABCC1","ABCC1"
"CCDC189",3902,"CCDC189","CFAP119"
"DBT",3903,"DBT","DBT"
"MCM7",3904,"MCM7","MCM7"
"BCL10",3905,"BCL10","BCL10"
"LRRC39",3906,"LRRC39","LRRC39"
"PHKG2",3907,"PHKG2","PHKG2"
"C6H1orf52",3908,"C6H1orf52","C1orf52"
"TRMT13",3910,"TRMT13","TRMT13"
"SYDE2",3911,"SYDE2","SYDE2"
"CEP20",3912,"CEP20","CEP20"
"SASS6",3914,"SASS6","SASS6"
"COPS6",3916,"COPS6","COPS6"
"FBRS",3917,"FBRS","FBRS"
"MCOLN3",3919,"MCOLN3","MCOLN3"
"PRR14",3920,"PRR14","PRR14"
"MYH11",3923,"MYH11","MYH11"
"ZSCAN21",3924,"ZSCAN21","ZSCAN21"
"MCOLN2",3925,"MCOLN2","MCOLN2"
"ZNF689",3926,"ZNF689","ZNF689"
"ZKSCAN1",3927,"ZKSCAN1","ZKSCAN1"
"LPAR3",3928,"LPAR3","LPAR3"
"NSUN5",3929,"NSUN5","NSUN5"
"SSX2IP",3931,"SSX2IP","SSX2IP"
"TRIM4",3932,"TRIM4","TRIM4"
"ZNF785",3933,"ZNF785","ZNF785"
"ZNF768",3934,"ZNF768","ZNF768"
"ITGAL",3935,"ITGAL","ITGAL"
"SPATA1",3936,"SPATA1","SPATA1"
"AGL",3937,"AGL","AGL"
"DCTPP1",3938,"DCTPP1","DCTPP1"
"ZNF771",3940,"ZNF771","ZNF771"
"RPF1",3941,"RPF1","RPF1"
"ZNF48",3942,"ZNF48","ZNF48"
"SEPTIN1",3943,"SEPTIN1","SEPTIN1"
"MYLPF",3946,"MYLPF","MYL11"
"TBC1D10B",3947,"TBC1D10B","TBC1D10B"
"NDE1",3948,"NDE1","NDE1"
"FRRS1",3949,"FRRS1","FRRS1"
"IL21R",3950,"IL21R","IL21R"
"IL4R",3952,"IL4R","IL4R"
"NSMCE1",3955,"NSMCE1","NSMCE1"
"CD2BP2",3956,"CD2BP2","CD2BP2"
"BMERB1",3957,"BMERB1","BMERB1"
"PRKACB",3958,"PRKACB","PRKACB"
"KDM8",3959,"KDM8","KDM8"
"TFAP4",3960,"TFAP4","TFAP4"
"PDXDC1",3961,"PDXDC1","PDXDC1"
"ADCY9",3962,"ADCY9","ADCY9"
"C6H16orf54",3963,"C6H16orf54","C16orf54"
"ZKSCAN2",3964,"ZKSCAN2","ZKSCAN2"
"KIF22",3965,"KIF22","KIF22"
"MAZ",3966,"MAZ","MAZ"
"CREBBP",3967,"CREBBP","CREBBP"
"LCMT1",3968,"LCMT1","LCMT1"
"HIP1",3969,"HIP1","HIP1"
"ZSCAN25",3971,"ZSCAN25","ZSCAN25"
"TRAP1",3972,"TRAP1","TRAP1"
"SLX4",3973,"SLX4","SLX4"
"CLUAP1",3974,"CLUAP1","CLUAP1"
"NAA60",3975,"NAA60","NAA60"
"NTAN1",3976,"NTAN1","NTAN1"
"RRN3",3977,"RRN3","RRN3"
"ZNF597",3978,"ZNF597","ZNF597"
"ZNF174",3979,"ZNF174","ZNF174"
"ZNF263",3984,"ZNF263","ZNF263"
"TIGD7",3985,"TIGD7","TIGD7"
"MEFV",3986,"MEFV","MEFV"
"ZNF200",3987,"ZNF200","ZNF200"
"ZNF213",3989,"ZNF213","ZNF213"
"ZNF205",3990,"ZNF205","ZNF205"
"MMP25",3991,"MMP25","MMP25"
"THOC6",3992,"THOC6","THOC6"
"HCFC1R1",3993,"HCFC1R1","HCFC1R1"
"TNFRSF12A",3994,"TNFRSF12A","TNFRSF12A"
"PKMYT1",3995,"PKMYT1","PKMYT1"
"PAQR4",3996,"PAQR4","PAQR4"
"FLYWCH2",3998,"FLYWCH2","FLYWCH2"
"SRRM2",3999,"SRRM2","SRRM2"
"ELOB",4001,"ELOB","ELOB"
"PRSS22",4002,"PRSS22","PRSS22"
"KCTD5",4003,"KCTD5","KCTD5"
"TMEM225B",4004,"TMEM225B","TMEM225B"
"CARD11",4005,"CARD11","CARD11"
"RHBDD2",4006,"RHBDD2","RHBDD2"
"BFAR",4008,"BFAR","BFAR"
"PDPK1",4009,"PDPK1","PDPK1"
"GNA12",4010,"GNA12","GNA12"
"ZNF655",4011,"ZNF655","ZNF655"
"ARHGAP17",4012,"ARHGAP17","ARHGAP17"
"MVP",4013,"MVP","MVP"
"TTLL7",4014,"TTLL7","TTLL7"
"BRAT1",4015,"BRAT1","BRAT1"
"POR",4016,"POR","POR"
"SNX7",4017,"SNX7","SNX7"
"PARN",4018,"PARN","PARN"
"ZKSCAN5",4020,"ZKSCAN5","ZKSCAN5"
"IQCE",4021,"IQCE","IQCE"
"DPYD",4022,"DPYD","DPYD"
"ZNF394",4023,"ZNF394","ZNF394"
"ZNF789",4025,"ZNF789","ZNF789"
"TEDC2",4026,"TEDC2","TEDC2"
"TTYH3",4027,"TTYH3","TTYH3"
"CDIPT",4028,"CDIPT","CDIPT"
"SEZ6L2",4029,"SEZ6L2","SEZ6L2"
"MRTFB",4030,"MRTFB","MRTFB"
"ERCC4",4032,"ERCC4","ERCC4"
"PTBP2",4033,"PTBP2","PTBP2"
"RWDD3",4034,"RWDD3","RWDD3"
"TLCD4",4035,"TLCD4","TLCD4"
"LFNG",4037,"LFNG","LFNG"
"CCNF",4038,"CCNF","CCNF"
"ALG14",4039,"ALG14","ALG14"
"CPPED1",4040,"CPPED1","CPPED1"
"KCTD13",4041,"KCTD13","KCTD13"
"TMEM120A",4043,"TMEM120A","TMEM120A"
"SNX29",4044,"SNX29","SNX29"
"TAOK2",4045,"TAOK2","TAOK2"
"CHST12",4046,"CHST12","CHST12"
"TNFRSF17",4048,"TNFRSF17","TNFRSF17"
"GSPT1",4049,"GSPT1","GSPT1"
"ABCA3",4050,"ABCA3","ABCA3"
"TNRC6A",4051,"TNRC6A","TNRC6A"
"CPSF4",4052,"CPSF4","CPSF4"
"RSL1D1",4053,"RSL1D1","RSL1D1"
"RNPS1",4054,"RNPS1","RNPS1"
"EIF3B",4055,"EIF3B","EIF3B"
"ZC3H7A",4056,"ZC3H7A","ZC3H7A"
"RBBP6",4057,"RBBP6","RBBP6"
"F3",4058,"F3","F3"
"TXNDC11",4060,"TXNDC11","TXNDC11"
"HIRIP3",4063,"HIRIP3","HIRIP3"
"ECI1",4064,"ECI1","ECI1"
"INO80E",4065,"INO80E","INO80E"
"PRKCB",4066,"PRKCB","PRKCB"
"RMI2",4067,"RMI2","RMI2"
"ERN2",4068,"ERN2","ERN2"
"ABCD3",4069,"ABCD3","ABCD3"
"PLK1",4070,"PLK1","PLK1"
"DCTN5",4071,"DCTN5","DCTN5"
"ARHGAP29",4072,"ARHGAP29","ARHGAP29"
"PALB2",4073,"PALB2","PALB2"
"UBFD1",4075,"UBFD1","UBFD1"
"EARS2",4077,"EARS2","EARS2"
"CLEC16A",4078,"CLEC16A","CLEC16A"
"ABCA4",4079,"ABCA4","ABCA4"
"DEXI",4080,"DEXI","DEXI"
"GGA2",4081,"GGA2","GGA2"
"COG7",4082,"COG7","COG7"
"CIITA",4083,"CIITA","CIITA"
"NUBP1",4085,"NUBP1","NUBP1"
"USP31",4086,"USP31","USP31"
"BCAR3",4087,"BCAR3","BCAR3"
"ATF7IP2",4089,"ATF7IP2","ATF7IP2"
"METTL9",4090,"METTL9","METTL9"
"IGSF6",4091,"IGSF6","IGSF6"
"FNBP1L",4092,"FNBP1L","FNBP1L"
"CDR2",4093,"CDR2","CDR2"
"USP7",4095,"USP7","USP7"
"POLR3E",4096,"POLR3E","POLR3E"
"DR1",4097,"DR1","DR1"
"CARHSP1",4098,"CARHSP1","CARHSP1"
"PMM2",4100,"PMM2","PMM2"
"ABAT",4101,"ABAT","ABAT"
"EEF2K",4102,"EEF2K","EEF2K"
"CCDC18",4103,"CCDC18","CCDC18"
"METTL22",4104,"METTL22","METTL22"
"MOSMO",4105,"MOSMO","MOSMO"
"UQCRC2",4106,"UQCRC2","UQCRC2"
"TMED5",4107,"TMED5","TMED5"
"MTF2",4108,"MTF2","MTF2"
"DIPK1A",4109,"DIPK1A","DIPK1A"
"ANKS4B",4113,"ANKS4B","ANKS4B"
"DNAH3",4114,"DNAH3","DNAH3"
"LYRM1",4115,"LYRM1","LYRM1"
"DCUN1D3",4116,"DCUN1D3","DCUN1D3"
"REXO5",4117,"REXO5","REXO5"
"ERI2",4118,"ERI2","ERI2"
"ACSM3",4119,"ACSM3","ACSM3"
"THUMPD1",4120,"THUMPD1","THUMPD1"
"E4F1",4121,"E4F1","E4F1"
"SNX8",4124,"SNX8","SNX8"
"BRICD5",4126,"BRICD5","BRICD5"
"PDAP1",4127,"PDAP1","PDAP1"
"ARPC1B",4129,"ARPC1B","ARPC1B"
"NUDT1",4130,"NUDT1","NUDT1"
"HSPB1",4131,"HSPB1","HSPB1"
"YWHAG",4132,"YWHAG","YWHAG"
"MRM2",4133,"MRM2","MRM2"
"PPP4C",4134,"PPP4C","PPP4C"
"ARPC1A",4135,"ARPC1A","ARPC1A"
"MAD1L1",4136,"MAD1L1","MAD1L1"
"TBX6",4137,"TBX6","TBX6"
"YPEL3",4138,"YPEL3","YPEL3"
"PSMG3",4139,"PSMG3","PSMG3"
"DTX2",4140,"DTX2","DTX2"
"SMURF1",4141,"SMURF1","SMURF1"
"GDPD3",4142,"GDPD3","GDPD3"
"TMEM184A",4143,"TMEM184A","TMEM184A"
"MAPK3",4144,"MAPK3","MAPK3"
"CORO1A",4146,"CORO1A","CORO1A"
"MAFK",4147,"MAFK","MAFK"
"TRRAP",4148,"TRRAP","TRRAP"
"INTS1",4149,"INTS1","INTS1"
"MICALL2",4153,"MICALL2","MICALL2"
"SGF29",4155,"SGF29","SGF29"
"LRWD1",4156,"LRWD1","LRWD1"
"C6H7orf50",4157,"C6H7orf50","C7orf50"
"GPR146",4160,"GPR146","GPR146"
"BRI3",4161,"BRI3","BRI3"
"ALKBH4",4162,"ALKBH4","ALKBH4"
"TECPR1",4163,"TECPR1","TECPR1"
"ORAI2",4164,"ORAI2","ORAI2"
"ADAP1",4166,"ADAP1","ADAP1"
"PRKRIP1",4167,"PRKRIP1","PRKRIP1"
"GET4",4168,"GET4","GET4"
"NUPR1",4169,"NUPR1","NUPR1"
"SH2B2",4170,"SH2B2","SH2B2"
"APOBR",4171,"APOBR","APOBR"
"CUX1",4172,"CUX1","CUX1"
"SUN1",4173,"SUN1","SUN1"
"CLN3",4174,"CLN3","CLN3"
"DNAAF5",4175,"DNAAF5","DNAAF5"
"PRKAR1B",4176,"PRKAR1B","PRKAR1B"
"IFT22",4177,"IFT22","IFT22"
"FIS1",4179,"FIS1","FIS1"
"ZNHIT1",4180,"ZNHIT1","ZNHIT1"
"ATXN2L",4181,"ATXN2L","ATXN2L"
"TUFM",4182,"TUFM","TUFM"
"SH2B1",4183,"SH2B1","SH2B1"
"KLHL3",4186,"KLHL3","KLHL3"
"HINT2",4188,"HINT2","HINT2"
"ACO1",4190,"ACO1","ACO1"
"TOPORS",4194,"TOPORS","TOPORS"
"TMEM8B",4195,"TMEM8B","TMEM8B"
"APTX",4197,"APTX","APTX"
"CNTLN",4198,"CNTLN","CNTLN"
"PKD2L2",4199,"PKD2L2","PKD2L2"
"DNAJA1",4201,"DNAJA1","DNAJA1"
"SMU1",4202,"SMU1","SMU1"
"B4GALT1",4206,"B4GALT1","B4GALT1"
"FAM13B",4208,"FAM13B","FAM13B"
"BAG1",4209,"BAG1","BAG1"
"FLT4",4210,"FLT4","FLT4"
"NFX1",4212,"NFX1","NFX1"
"GNE",4213,"GNE","GNE"
"NME5",4214,"NME5","NME5"
"BRD8",4215,"BRD8","BRD8"
"RRAGA",4216,"RRAGA","RRAGA"
"HAUS6",4217,"HAUS6","HAUS6"
"PLIN2",4218,"PLIN2","PLIN2"
"RNF38",4221,"RNF38","RNF38"
"DENND4C",4222,"DENND4C","DENND4C"
"ACER2",4224,"ACER2","ACER2"
"MELK",4226,"MELK","MELK"
"MLLT3",4228,"MLLT3","MLLT3"
"NOL6",4229,"NOL6","NOL6"
"UBE2R2",4230,"UBE2R2","UBE2R2"
"FOCAD",4232,"FOCAD","FOCAD"
"UBAP2",4233,"UBAP2","UBAP2"
"KIF20A",4236,"KIF20A","KIF20A"
"DCAF12",4238,"DCAF12","DCAF12"
"SLC31A2",4239,"SLC31A2","SLC31A2"
"CDC25C",4241,"CDC25C","CDC25C"
"HACD4",4242,"HACD4","HACD4"
"FKBP15",4243,"FKBP15","FKBP15"
"KIF24",4245,"KIF24","KIF24"
"NUDT2",4246,"NUDT2","NUDT2"
"IFNB1",4247,"IFNB1","IFNB1"
"KDM3B",4249,"KDM3B","KDM3B"
"PAX5",4250,"PAX5","PAX5"
"FAM219A",4251,"FAM219A","FAM219A"
"REEP2",4252,"REEP2","REEP2"
"MTAP",4254,"MTAP","MTAP"
"EGR1",4255,"EGR1","EGR1"
"ETF1",4256,"ETF1","ETF1"
"HSPA9",4257,"HSPA9","HSPA9"
"ZCCHC7",4259,"ZCCHC7","ZCCHC7"
"GRHPR",4260,"GRHPR","GRHPR"
"CTNNA1",4262,"CTNNA1","CTNNA1"
"ZBTB5",4263,"ZBTB5","ZBTB5"
"DNAI1",4264,"DNAI1","DNAI1"
"ZFP62",4265,"ZFP62","ZFP62"
"POLR1E",4266,"POLR1E","POLR1E"
"LRRTM2",4267,"LRRTM2","LRRTM2"
"SIL1",4269,"SIL1","SIL1"
"TRMT10B",4270,"TRMT10B","TRMT10B"
"MATR3",4271,"MATR3","MATR3"
"SLC31A1",4272,"SLC31A1","SLC31A1"
"CDC26",4273,"CDC26","CDC26"
"PRPF4",4275,"PRPF4","PRPF4"
"EXOSC3",4276,"EXOSC3","EXOSC3"
"DCAF10",4277,"DCAF10","DCAF10"
"TRIM7",4278,"TRIM7","TRIM7"
"SHB",4281,"SHB","SHB"
"CAAP1",4283,"CAAP1","CAAP1"
"CNOT6",4284,"CNOT6","CNOT6"
"TRIM41",4285,"TRIM41","TRIM41"
"ISOC1",4286,"ISOC1","ISOC1"
"CCDC180",4287,"CCDC180","CCDC180"
"BSPRY",4288,"BSPRY","BSPRY"
"PLAA",4290,"PLAA","PLAA"
"KIAA2026",4291,"KIAA2026","KIAA2026"
"SMC2",4292,"SMC2","SMC2"
"TDRD7",4293,"TDRD7","TDRD7"
"RACK1",4295,"RACK1","RACK1"
"TMOD1",4297,"TMOD1","TMOD1"
"MAPK9",4298,"MAPK9","MAPK9"
"TSTD2",4300,"TSTD2","TSTD2"
"NCBP1",4302,"NCBP1","NCBP1"
"IFT74",4303,"IFT74","IFT74"
"DCTN3",4304,"DCTN3","DCTN3"
"HDHD3",4305,"HDHD3","HDHD3"
"DMXL1",4306,"DMXL1","DMXL1"
"ALAD",4307,"ALAD","ALAD"
"LRRC19",4308,"LRRC19","LRRC19"
"TRIM52",4309,"TRIM52","TRIM52"
"TEK",4310,"TEK","TEK"
"POLE3",4312,"POLE3","POLE3"
"NIPSNAP3A",4313,"NIPSNAP3A","NIPSNAP3A"
"C11H9orf43",4314,"C11H9orf43","C9orf43"
"SIGMAR1",4315,"SIGMAR1","SIGMAR1"
"XPA",4316,"XPA","XPA"
"RGS3",4317,"RGS3","RGS3"
"GALT",4318,"GALT","GALT"
"RNF130",4319,"RNF130","RNF130"
"TRMO",4320,"TRMO","TRMO"
"TBC1D9B",4321,"TBC1D9B","TBC1D9B"
"UHRF2",4322,"UHRF2","UHRF2"
"ABCA1",4323,"ABCA1","ABCA1"
"HEMGN",4324,"HEMGN","HEMGN"
"MRNIP",4325,"MRNIP","MRNIP"
"NANS",4326,"NANS","NANS"
"SQSTM1",4327,"SQSTM1","SQSTM1"
"MGAT4B",4328,"MGAT4B","MGAT4B"
"TRIM14",4330,"TRIM14","TRIM14"
"MAML1",4332,"MAML1","MAML1"
"CORO2A",4333,"CORO2A","CORO2A"
"CANX",4334,"CANX","CANX"
"DNAJB5",4336,"DNAJB5","DNAJB5"
"SLC44A1",4337,"SLC44A1","SLC44A1"
"KDM4C",4338,"KDM4C","KDM4C"
"TBC1D2",4339,"TBC1D2","TBC1D2"
"HNRNPH1",4340,"HNRNPH1","HNRNPH1"
"ZNF618",4341,"ZNF618","ZNF618"
"VCP",4342,"VCP","VCP"
"FSD1L",4343,"FSD1L","FSD1L"
"FANCG",4344,"FANCG","FANCG"
"PIGO",4345,"PIGO","PIGO"
"DMAC1",4346,"DMAC1","DMAC1"
"STOML2",4347,"STOML2","STOML2"
"RUFY1",4348,"RUFY1","RUFY1"
"FAM214B",4349,"FAM214B","ATOSB"
"UNC13B",4350,"UNC13B","UNC13B"
"MOB3B",4351,"MOB3B","MOB3B"
"IFNK",4352,"IFNK","IFNK"
"FKTN",4355,"FKTN","FKTN"
"GABBR2",4356,"GABBR2","GABBR2"
"ADAMTS2",4357,"ADAMTS2","ADAMTS2"
"LYRM7",4358,"LYRM7","LYRM7"
"ANKS6",4359,"ANKS6","ANKS6"
"GALNT12",4360,"GALNT12","GALNT12"
"TESK1",4365,"TESK1","TESK1"
"CD72",4366,"CD72","CD72"
"SIT1",4367,"SIT1","SIT1"
"CCDC107",4368,"CCDC107","CCDC107"
"ARHGEF39",4369,"ARHGEF39","ARHGEF39"
"CA9",4370,"CA9","CA9"
"TPM2",4371,"TPM2","TPM2"
"TLN1",4372,"TLN1","TLN1"
"CREB3",4373,"CREB3","CREB3"
"GBA2",4374,"GBA2","GBA2"
"RGP1",4375,"RGP1","RGP1"
"NPR2",4376,"NPR2","NPR2"
"CDC42SE2",4377,"CDC42SE2","CDC42SE2"
"TNFAIP8",4378,"TNFAIP8","TNFAIP8"
"AKNA",4381,"AKNA","AKNA"
"TMEM38B",4382,"TMEM38B","TMEM38B"
"COL15A1",4383,"COL15A1","COL15A1"
"HSD17B4",4384,"HSD17B4","HSD17B4"
"ZNF462",4386,"ZNF462","ZNF462"
"WHRN",4387,"WHRN","WHRN"
"RAD23B",4388,"RAD23B","RAD23B"
"ZNF454",4389,"ZNF454","ZNF454"
"TGFBR1",4390,"TGFBR1","TGFBR1"
"TMEM268",4392,"TMEM268","TMEM268"
"ZFP2",4394,"ZFP2","ZFP2"
"ZNF354B",4396,"ZNF354B","ZNF354B"
"KLF4",4398,"KLF4","KLF4"
"TNFSF8",4401,"TNFSF8","TNFSF8"
"ACTL7A",4402,"ACTL7A","ACTL7A"
"ALG2",4404,"ALG2","ALG2"
"ZNF354A",4405,"ZNF354A","ZNF354A"
"ELP1",4406,"ELP1","ELP1"
"CLK4",4407,"CLK4","CLK4"
"NR4A3",4408,"NR4A3","NR4A3"
"FNIP1",4410,"FNIP1","FNIP1"
"ABITRAM",4412,"ABITRAM","ABITRAM"
"STX17",4414,"STX17","STX17"
"SRFBP1",4415,"SRFBP1","SRFBP1"
"ERP44",4416,"ERP44","ERP44"
"TMEM245",4417,"TMEM245","TMEM245"
"PHYKPL",4418,"PHYKPL","PHYKPL"
"INVS",4419,"INVS","INVS"
"HNRNPAB",4421,"HNRNPAB","HNRNPAB"
"NHP2",4422,"NHP2","NHP2"
"RMND5B",4423,"RMND5B","RMND5B"
